,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
72,72,73,75,Elkhart General Hospital,,"Offers a full-service hospital providing a wide range of diagnostic, treatment, and health care programs, including 24-hour emergency care.","{""open"":{""Monday"":[[[8,30],[12,0]],[[13,0],[17,0]]],""Tuesday"":[[[8,30],[12,0]],[[13,0],[17,0]]],""Wednesday"":[[[8,30],[12,0]],[[13,0],[17,0]]],""Thursday"":[[[8,30],[12,0]],[[13,0],[17,0]]],""Friday"":[[[8,30],[12,0]]]},""closed"":[]}",Mon-Thurs 8:30am-noon and 1pm-5pm; Fri 8:30am-noon,www.beaconhealthsystem.org,,,574-294-2621,
73,73,74,76,Elkhart Public Library,,A public library that provides access to materials both physical and digital for all ages.,"{""open"":{""Monday"":[[[9,0],[20,0]]],""Tuesday"":[[[9,0],[18,0]]],""Wednesday"":[[[9,0],[20,0]]],""Thursday"":[[[9,0],[18,0]]],""Friday"":[[[9,0],[18,0]]],""Saturday"":[[[9,0],[13,0]]]},""closed"":[]}","Mon and Wed 9am-8pm; Tues, Thurs, and Fri 9am-6pm; Sat 9am-1pm",www.myepl.org,http://www.Facebook.com/myepl,www.twitter.com/myepl,574-522-2665,
74,74,75,77,Elkhart Township Fire Department,"Elkhart Fire Station 1, Elkhart Township Fire Department Station 1",Provides emergency fire and medical services for Elkhart township in Elkhart County.,"{""open"":{""Friday"":[[[7,0],[16,0]]],""Thursday"":[[[7,0],[16,0]]],""Wednesday"":[[[7,0],[16,0]]],""Tuesday"":[[[7,0],[16,0]]],""Monday"":[[[7,0],[16,0]]]},""closed"":[]}",Mon-Fri 7am-4pm,,,,574-533-4795,Office
75,75,76,78,Elkhart County Emergency Management,"Elkhart County Department Of Homeland Security, Ema",Coordinates emergency management programs and response measures in Elkhart County.,"{""open"":{""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon 8am-5pm; Tues-Fri 8am-4pm,www.elkhartcountyindiana.com/departments/emergency-management,,,574-891-2238,
76,76,77,79,Faith Mission,,"A faith-based, nonprofit organization providing food, shelter, clothing, and other services to homeless men, women, and children.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.thefaithmission.org,,,574-293-3406,
77,77,78,80,Quarry Hills Farm Stand,,"A market stand in Fulton County, offering locally grown foods, baked goods, and fresh produce.",,Vary,,,,574-930-6784,
78,78,79,81,Feed The Children,,"A faith-based organization that maintains food banks throughout the United States to supply food pantries, soup kitchens, and other programs that provide food to children and families in need.",,Mon-Thurs 8am-5pm; Fri 8am-3pm,www.feedthechildren.org,,,574-262-5227,
79,79,80,82,College Mennonite Church,"College Mennonite Jubilee Fund, Goshen College Mennonite Services",A church with a charitable outreach providing financial assistance to people in need in Goshen city.,"{""open"":{""Monday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Thurs 9am-4pm,www.collegemennonite.org,,,574-535-7262,
80,80,81,83,Interfaith Hospitality Network,,A nonprofit that operates a homeless shelter for adults with children and pregnant women.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,574-534-2300,
81,81,82,84,Goshen Public Library,,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Sunday"":[[[13,0],[17,0]]],""Monday"":[[[10,0],[20,0]]],""Tuesday"":[[[13,0],[20,0]]],""Wednesday"":[[[10,0],[20,0]]],""Thursday"":[[[10,0],[20,0]]],""Friday"":[[[10,0],[18,0]]],""Saturday"":[[[10,0],[16,0]]]},""closed"":[]}","Regular: Mon, Wed, and Thurs 10am-8pm; Tues 1pm-8pm; Fri 10am-6pm; Sat 10am-4pm; Sun 1pm-5pm -- Memorial Day-Labor Day: Mon, Wed, and Thurs 10am-8pm; Tues 1pm-8pm; Fri 10am-6pm; Sat 10am-4pm",www.goshenpl.lib.in.us,,,574-533-9531,
82,82,83,85,Goshen - City of,,Governance and municipal services for the city of Goshen in Elkhart County.,"{""open"":{""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.goshenindiana.org,,,574-533-8621,City Hall
83,83,84,86,Habitat For Humanity of Elkhart County,,A nonprofit Christian housing ministry that builds affordable housing for qualified individuals and families in Elkhart County.,"{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Thurs 9am-5pm; Fri 9am-3pm,www.habitatec.com,,,574-533-6109,
84,84,85,87,Heart City Health,"Hchc, Heart City",A nonprofit organization that is a Federally Qualified Health Center (FQHC) providing affordable medical and dental care.,,Mon-Thurs 9am-1pm and 2pm-6pm (Peds until 8pm) -- Fri 9am-1pm and 2pm-4pm -- Sat (Scenic location only) 9am-3pm,www.heartcityhealth.org,www.facebook.com/HeartCityHealthCenter/,,574-293-0052,
85,85,86,88,Center Township Trustee - Boone County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Thursday"":[[[12,0],[18,0]]],""Tuesday"":[[[12,0],[18,0]]],""Monday"":[[[12,0],[14,0]]]},""closed"":[]}",Mon noon-2pm; Tues and Thurs noon-6pm,,,,765-482-1550,
86,86,87,89,Witham Health Services,,"A full-service nonprofit hospital providing emergency room care and comprehensive health care services with a mission ""to improve health through excellence and personalized care.""","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,,,,765-485-8000,
87,87,88,90,Worth Township Trustee - Boone County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,www.worthtownship.org,,,317-769-3560,
88,88,89,91,Elkhart Housing Authority,"Housing Authority Of Elkhart, Housing Authority Of The City Of Elkhart (Eha), Pha, Public Housing Agency",A nonprofit agency that administers housing assistance programs.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.ehai.org,,,574-295-8392,
89,89,90,92,Center Township Trustee - Hancock County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Mon-Thurs 9am-noon; Fri 9am-11am,,,,317-477-1176,
90,90,91,93,Zionsville Chapter of Boone County Meals on Wheels,Zionsville Meals On Wheels,A nonprofit agency that delivers hot meals to home-bound persons.,"{""open"":{""Monday"":[[[9,0],[18,0]]],""Tuesday"":[[[9,0],[18,0]]],""Wednesday"":[[[9,0],[18,0]]],""Thursday"":[[[9,0],[18,0]]],""Friday"":[[[9,0],[18,0]]]},""closed"":[]}",Mon-Fri 9am-6pm,www.zionsvillemealsonwheels.org,,,317-258-9853,
91,91,92,94,The Window,"Church Women United Of Goshen, The Window Of Goshen, The Window, Inc., Window, The","A nonprofit organization that provides a clothing pantry, meals on wheels, other services, including a food pantry.","{""open"":{""Monday"":[[[9,0],[16,30]]],""Tuesday"":[[[9,0],[16,30]]],""Wednesday"":[[[9,0],[16,30]]],""Thursday"":[[[9,0],[16,30]]],""Friday"":[[[9,0],[16,30]]]},""closed"":[]}",Mon-Fri 9am-4:30pm,www.thewindowofgoshen.com,,,574-533-9680,
92,92,93,95,Lacasa,"La Casa Of Goshen, La Casa, Inc., Lacasa Main Goshen, Lacasa Of Goshen, Lacasa, Inc.","A nonprofit that works in partnership with individuals and community partners to create opportunities for personal growth, family stability and neighborhood improvement.","{""open"":{""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Monday"":[[[8,30],[17,0]]]},""closed"":[]}",Mon-Fri 8:30am-5pm,www.lacasainc.net,,,574-533-4450,
93,93,94,96,Girl Scouts of Northern Indiana Michiana Council,,"""Girl Scouting builds girls of courage, confidence, and character, who make the world a better place.""","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,,,,260-422-3417,
94,94,95,97,United Way of Elkhart County,Elkhart County United Way,"A nonprofit agency that partners with local human service organizations, businesses, and government agencies to support and strengthen the community.","{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.unitedwayec.org,www.facebook.com/UWofElkhartCounty/,,574-295-1650,
95,95,96,98,Maple City Health Care Center,Mchcc,"""The purpose of Maple City Health Care Center is: a) to foster healthy community in our neighborhood by providing and promoting affordable, accessible, and integrated quality care, and b) to articulate and promote our experience as a sustainable model.""",,"Mon, Wed, Thurs and Fri 9am-noon and 1pm-5pm; Tues 10am-noon and 1pm-5pm",www.mchcc.com,,,574-534-3300,
96,96,97,99,Middlebury Community Public Library,"Middlebury Community Library, Middlebury Library, Middlebury Public Library",A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,,Mon-Thurs 9am-8pm; Fri 9am-6pm; Sat 9am-2pm,www.mdy.lib.in.us,,,574-825-5601,
97,97,98,100,Middlebury - Town of,"Middlebury Town Hall, Town Of Middlebury",Provides governance and municipal services for the town of Middlebury in Elkhart County.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.middleburyin.com,,,574-825-1499,Town Hall
98,98,99,101,Cancer Resources For Elkhart County,,"Provides planning, emotional support, referrals, wellness services, and financial aid to cancer patients.","{""open"":{""Friday"":[[[9,0],[15,0]]],""Thursday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Monday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Fri 9am-3pm,www.elkhartcancer.org,,,574-875-5158,
99,99,100,102,Wheelchairhelp.org,"Wheel Chair Help . Org, Wheel Chair Help Dot Org, Wheelchair Help Dot Org, Wheelchairhelp.Org",A nonprofit organization that loans and sells wheelchairs and mobility equipment.,"{""open"":{""Friday"":[[[12,0],[17,30]]],""Thursday"":[[[12,0],[17,30]]],""Wednesday"":[[[12,0],[17,30]]],""Tuesday"":[[[12,0],[17,30]]],""Monday"":[[[12,0],[17,30]]]},""closed"":[]}",Mon-Fri noon-5:30pm,www.wheelchairhelp.org,,,574-295-2230,
100,100,101,103,Nappanee Public Library,,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Saturday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[21,0]]],""Tuesday"":[[[9,0],[21,0]]],""Wednesday"":[[[9,0],[21,0]]],""Thursday"":[[[9,0],[21,0]]],""Friday"":[[[9,0],[17,30]]]},""closed"":[]}",Mon-Thurs 9am-9pm; Fri 9am-5:30pm; Sat 9am-5pm; Sun 1pm-5pm,www.nappaneelibrary.org,,,574-773-7919,
101,101,102,104,Open Door of Nappanee,"Nappanee Open Door, Old Railroad Station",A nonprofit organization offering a food pantry and limited gas bill assistance to persons in need who live in the city of Nappanee.,,Mon-Fri 9am-11am,www.nappaneeopendoor.com,,,574-773-3820,
102,102,103,105,Area Five Agency on Aging & Community Services,"ADRC, Area 5 Agency on Aging, Area Agency on Aging, Area V Agency on Aging","An Indiana Area Agency on Aging providing services to seniors and persons with disabilities in Cass, Fulton, Howard, Miami, Tipton, and Wabash County.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.areafive.com,,,574-722-4451,
103,103,104,106,Adams Public Library System,,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Saturday"":[[[9,0],[13,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[20,0]]],""Tuesday"":[[[9,0],[20,0]]],""Monday"":[[[9,0],[20,0]]],""Sunday"":[[[13,0],[17,0]]]},""closed"":[]}",Mon-Wed 9am-8pm; Thurs and Fri 9am-5pm; Sat 9am-1pm; Sun 1pm-5pm,www.apls.lib.in.us,,,260-724-2605,
104,104,105,107,Adventist Community Services,,"A church with worship services and charitable outreach, including a food pantry and a clothing pantry.",,Vary,www.fortwayneadventist.org,,,260-745-1594,
105,105,106,108,Healthier Moms And Babies,,A nonprofit that provides prenatal health education and social support to women through home-based services.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.healthiermomsandbabies.org,,,260-469-4076,
106,106,107,109,Lutheran Hospital,Lutheran Health Network,"Offers a full-service hospital providing a wide range of diagnostic, treatment, and health care programs, including 24-hour emergency care.",,Daily 24 hours,www.lutheranhealth.net,,,260-435-7001,
107,107,108,110,Love In The Name of Christ of Adams County,"Love INC, Decatur Church of God, Zion Lutheran Church",A faith-based community organization mobilizing community social services and churches to meet the basic needs of the community.,"{""open"":{""Monday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Tuesday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Wednesday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Thursday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Friday"":[[[9,0],[12,0]],[[13,0],[14,0]]]},""closed"":[]}",Mon-Thurs 9am-noon and 1pm-3pm; Fri 9am-noon and 1pm-2pm,www.love-inc.org,,,260-728-4503,
108,108,109,111,Allen County Bar Association,ACBA,Local membership organization for legal professionals in Allen County that provide legal services to the community.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.allencountybar.org,,,260-423-2359,
109,109,110,112,Allen County Society For Prevention of Cruelty To Animals,"Acspca, Allen County Spca, Spca",A nonprofit organization providing shelter and adoption services for dogs and cats.,"{""open"":{""Sunday"":[[[12,0],[16,0]]],""Tuesday"":[[[11,0],[18,0]]],""Wednesday"":[[[11,0],[18,0]]],""Thursday"":[[[11,0],[18,0]]],""Friday"":[[[11,0],[18,0]]],""Saturday"":[[[12,0],[16,0]]]},""closed"":[]}",Tues-Fri 11am-6pm; Sat and Sun noon-4pm,www.acspca.org,,,260-744-0454,
110,110,111,113,National Alliance on Mental Illness - Fort Wayne,NAMI,"A nonprofit organization that offers support groups for person with mental illness and their families, including education, support, improved community services, research and advocacy.","{""open"":{""Monday"":[[[15,0],[18,0]]],""Tuesday"":[[[9,0],[16,30]]],""Thursday"":[[[9,0],[16,30]]]},""closed"":[]}",Mon 3pm-6pm; Tue and Thurs 9am-4:30pm,www.namifortwayne.org,,,260-447-8990,
111,111,112,115,Rescare Youth Services Fort Wayne,Children's Sanctuary,"A private organization that seeks to enhance the community through education training, support, human services, and  relationship building.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.rescare.com,,,260-485-0870,
112,112,113,116,Associated Churches of Fort Wayne And Allen County,,"""Associated Churches of Fort Wayne and Allen County is a Christian community of faith that is united in its efforts to care for those most in need of material and spiritual support.""",,"Mon-Thurs 8am-3pm, Fri 8am-noon",www.associatedchurches.org,www.facebook.com/AssociatedChurches/,www.twitter.com/AssocChurches,260-422-3528,
113,113,114,117,Brightpoint,"CANI, Community Action Of Northeast Indiana",A private nonprofit Community Action agency that assist people with low-income in communities in Northeast Indiana access available government and charitable resources.,"{""open"":{""Monday"":[[[7,30],[17,30]]],""Tuesday"":[[[7,30],[17,30]]],""Wednesday"":[[[7,30],[17,30]]],""Thursday"":[[[7,30],[17,30]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Thurs 7:30am-5:30pm; Fri 8am-5am,www.mybrightpoint.org,,,260-423-3546,
